story_id,acceptance_criterion,test_file,test_name
D2,"A clarification message is mandatory and must contain at least one non-whitespace character; an empty message is refused, no message is stored, and the event status is unchanged",backend/services/event/tests/api/clarifications.test.ts,"refuses an empty message, storing nothing and leaving the status unchanged"
D2,"On sending, the event status changes to Awaiting Clarification and the requesting coordinator and timestamp are recorded",backend/services/event/tests/api/clarifications.test.ts,"moves the event to Awaiting Clarification, recording who asked and when"
D2,"The message is stored against the event and is visible to the owning organiser and to Event Coordinators",backend/services/event/tests/api/clarifications.test.ts,"lets the owning organiser see the outstanding clarification"
D2,"The message is not visible to users with no relationship to the event",backend/services/event/tests/api/clarifications.test.ts,"gives an organiser who does not own the event no clarification content"
D2,"The organiser receives a notification identifying the event and the fact that clarification is required",backend/services/event/tests/api/clarifications.test.ts,"notifies the organiser that clarification is required"
D2,"Multiple clarification messages on the same event are retained in order rather than overwriting each other",backend/services/event/tests/api/clarifications.test.ts,"retains multiple clarifications in order rather than overwriting"
D2,"Only an Event Coordinator may request clarification (A2)",backend/services/event/tests/api/clarifications.test.ts,"refuses a role that is not an Event Coordinator (A2)"
D2,"Status may only change through a permitted transition (F1)",backend/services/event/tests/api/clarifications.test.ts,"refuses a clarification on an event that is not under review (F1)"
D3,"The organiser can see any outstanding clarification message on their own event",backend/services/event/tests/api/clarifications.test.ts,"lets the owning organiser see the outstanding clarification"
D3,"The organiser can reply with a message, amend the request fields, or both",backend/services/event/tests/api/clarifications.test.ts,"accepts an amendment with no message"
D3,"A response with neither a message nor an amendment is refused and no timestamp is recorded",backend/services/event/tests/api/clarifications.test.ts,"refuses a response with neither a message nor an amendment, recording no timestamp"
D3,"On response the event status returns to Under Review and the response timestamp is recorded",backend/services/event/tests/api/clarifications.test.ts,"returns the event to Under Review and records the response time"
D3,"The values as originally submitted are retained in the event history alongside the amended values",backend/services/event/tests/api/clarifications.test.ts,"retains the value as originally submitted alongside the amended value"
D3,"The coordinator who requested the clarification is notified that the organiser has responded",backend/services/event/tests/api/clarifications.test.ts,"notifies the coordinator who asked for the clarification"
D3,"An organiser who does not own the event cannot view or answer the clarification",backend/services/event/tests/api/clarifications.test.ts,"gives an organiser who does not own the event no clarification content"
D4,"Approve is available only when the event status is Under Review or Awaiting Clarification",backend/services/event/tests/api/decisions.test.ts,"refuses to approve an event that has not been opened for review"
D4,"Approve is available when the event status is Under Review",backend/services/event/tests/api/decisions.test.ts,"approves an event that is Under Review, recording the coordinator and the time"
D4,"Approve is available when the event status is Awaiting Clarification",backend/services/event/tests/api/decisions.test.ts,"approves an event that is Awaiting Clarification"
D4,"On approval the status changes to Approved and the approving coordinator and approval timestamp are recorded",backend/services/event/tests/api/decisions.test.ts,"approves an event that is Under Review, recording the coordinator and the time"
D4,"The approval outcome and its date are visible to the owning organiser",backend/services/event/tests/api/decisions.test.ts,"shows the approval outcome and its date to the owning organiser"
D4,"The organiser receives a notification of the approval",backend/services/event/tests/api/decisions.test.ts,"notifies the organiser of the approval"
